itemId,itemNm,brandNm,displayPrc,strikeOutPrc,siteNm,salestrNm,itemLnkd,itemImgUrl,itemOrdQty,itemOrdQtyTxt,page
1000819277515,2026 신상 어린이날 10% 할인or적립,레고,509900,,이마트,월계점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000819277515&siteNo=6001&salestrNo=2037,https://sitem.ssgcdn.com/15/75/27/item/1000819277515_i1_500.jpg,33,주목할만한 상품,7
1000052423192,[26년 제철특가] 제스프리 키위/고흥 양파 /태국 골드망고/블랙라벨 오렌지 외 골라담기,감동,7900,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000052423192&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/92/31/42/item/1000052423192_i1_500.jpg,7306,주목할만한 상품,7
1000816368479,완도맘 전복 특별 할인 상품 리스트,,28900,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000816368479&siteNo=6001&salestrNo=6005,https://sitem.ssgcdn.com/79/84/36/item/1000816368479_i1_500.jpg,42,주목할만한 상품,7
1000597823528,[with KiiiKiii] 브랜드위크 ~50% + 추가쿠폰혜택,써스데이아일랜드,121212,,신세계백화점,본점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000597823528&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/28/35/82/item/1000597823528_i1_500.jpg,190,주목할만한 상품,7
1000274909169,프라이팬/냄비 최대 40% 할인,해피콜,22740,,이마트,월계점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000274909169&siteNo=6001&salestrNo=2037,https://sitem.ssgcdn.com/69/91/90/item/1000274909169_i1_500.jpg,14,주목할만한 상품,7
1000044293915,[분도선택/당일도정]수향미 골든퀸3호 10kg 갓찧은쌀 오분도미 쌀눈쌀,경성미가,40890,41800,,S.COM몰,https://www.ssg.com/item/itemView.ssg?itemId=1000044293915&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/15/39/29/item/1000044293915_i1_500.jpg,85,주목할만한 상품,7
1000815075961,잡곡 간편스틱 모음전,씨유웰,12675,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000815075961&siteNo=6001&salestrNo=6005,https://sitem.ssgcdn.com/61/59/07/item/1000815075961_i1_500.jpg,0,주목할만한 상품,7
1000021687158,"풋웨어 쓱특가 ! P-6000,V2K,코트비전 外 최대 ~50% SALE + 쿠폰혜택",나이키,114480,,신세계백화점,본점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000021687158&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/58/71/68/item/1000021687158_i1_500.jpg,5460,주목할만한 상품,7
1000809815961,[빕스]집에서 즐기는 레스토랑 풀코스· 홈파티 한 번에 준비 끝!(폭립·스테이크·라자냐·윙봉·파스타),VIPS,27260,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000809815961&siteNo=6001&salestrNo=6005,https://sitem.ssgcdn.com/61/59/81/item/1000809815961_i1_500.jpg,0,주목할만한 상품,7
1000795508249,"100% 곡물면 순솔, 할인+적립행사",순솔,22320,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000795508249&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/49/82/50/item/1000795508249_i1_500.jpg,71,주목할만한 상품,7
